id,name,type,level,rarity,vendor_value
208,Nika's Boots,Armor,80,Exotic,264
209,Ravaging Worn Scale Boots,Armor,57,Fine,49
210,Cleric's Sneakthief Coat of the Flame Legion,Armor,66,Exotic,336
211,Ravaging Magician Coat,Armor,39,Fine,56
212,Ravaging Swindler Mask,Armor,29,Fine,38
213,Strong Magician Coat,Armor,41,Fine,57
214,Ravaging Swindler Mask,Armor,34,Fine,42
215,Carrion Reinforced Scale Boots,Armor,62,Fine,53
216,Cleric's Sneakthief Coat of Vampirism,Armor,74,Exotic,366
217,Strong Magician Coat,Armor,46,Fine,63
218,Ravaging Swindler Mask,Armor,39,Fine,47
219,Strong Magician Coat,Armor,51,Fine,68
220,Strong Swindler Mask,Armor,41,Fine,48
221,Strong Magician Coat,Armor,56,Fine,74
222,Carrion Reinforced Scale Boots,Armor,67,Fine,56
223,Zho's Coat,Armor,80,Exotic,396
224,Strong Swindler Mask,Armor,46,Fine,53
225,Ravaging Magician Coat,Armor,42,Fine,59
226,Ravaging Magician Coat,Armor,47,Fine,63
227,Carrion Sneakthief Sandals of the Traveler,Armor,63,Exotic,216
228,Strong Swindler Mask,Armor,51,Fine,57
229,Ravaging Magician Coat,Armor,52,Fine,69
230,Carrion Reinforced Scale Boots,Armor,72,Fine,60
231,Strong Swindler Mask,Armor,56,Fine,62
232,Ravaging Swindler Mask,Armor,42,Fine,49
233,Ravaging Magician Coat,Armor,57,Fine,74
234,Honed Magician Coat,Armor,43,Fine,60
235,Sneakthief Coat of Balthazar,Armor,75,Exotic,372
236,Ravaging Swindler Mask,Armor,47,Fine,53
237,Carrion Reinforced Scale Boots,Armor,77,Fine,63
238,Errol's Coat,Armor,80,Exotic,396
239,Honed Magician Coat,Armor,48,Fine,65
240,Carrion Reinforced Scale Boots,Armor,80,Fine,66
241,Ravaging Swindler Mask,Armor,52,Fine,58
242,Ravaging Swindler Mask,Armor,57,Fine,62
243,Honed Magician Coat,Armor,53,Fine,71
244,Honed Magician Coat,Armor,58,Fine,75
245,Carrion Sneakthief Sandals of the Traveler,Armor,71,Exotic,236
246,Honed Swindler Mask,Armor,43,Fine,50
247,Ravaging Magician Coat,Armor,44,Fine,60
248,Berserker's Sneakthief Coat of Balthazar,Armor,76,Exotic,378
249,Ravaging Magician Coat,Armor,49,Fine,66
250,Honed Swindler Mask,Armor,48,Fine,54
251,Vatlaaw's Coat,Armor,80,Exotic,396
252,Vital Worn Chain Greaves,Armor,8,Fine,13
253,Ravaging Magician Coat,Armor,54,Fine,71
254,Honed Swindler Mask,Armor,53,Fine,59
255,Carrion Sneakthief Sandals of the Pack,Armor,79,Exotic,260
256,Vital Worn Chain Greaves,Armor,13,Fine,18
257,Ravaging Magician Coat,Armor,59,Fine,77
258,Honed Swindler Mask,Armor,58,Fine,63
259,Berserker's Cabalist Coat,Armor,61,Fine,78
260,Mighty Studded Coat,Armor,6,Fine,17
261,Berserker's Cabalist Coat,Armor,66,Fine,84
262,Ravaging Swindler Mask,Armor,44,Fine,50
263,Mighty Studded Coat,Armor,11,Fine,24
264,Vital Worn Chain Greaves,Armor,18,Fine,22
265,Berserker's Cabalist Coat,Armor,71,Fine,89
266,Ravaging Swindler Mask,Armor,49,Fine,55
267,Ravaging Swindler Mask,Armor,54,Fine,59
268,Berserker's Cabalist Coat,Armor,76,Fine,95
269,Berserker's Cabalist Coat,Armor,80,Fine,99
270,Mighty Studded Coat,Armor,16,Fine,30
271,Ravaging Swindler Mask,Armor,59,Fine,64
272,Honed Worn Chain Greaves,Armor,23,Fine,26
273,Carrion Cabalist Coat,Armor,62,Fine,80
274,Shiro's Greaves,Armor,80,Exotic,264
275,Honed Worn Chain Greaves,Armor,28,Fine,29
276,Berserker's Privateer Hat,Armor,61,Fine,65
277,Carrion Cabalist Coat,Armor,67,Fine,84
278,Berserker's Privateer Hat,Armor,66,Fine,70
279,Carrion Cabalist Coat,Armor,72,Fine,90
280,Precise Studded Coat,Armor,7,Fine,18
281,Carrion Cabalist Coat,Armor,77,Fine,95
282,Berserker's Privateer Hat,Armor,71,Fine,74
283,Honed Worn Scale Boots,Armor,33,Fine,33
284,Berserker's Privateer Hat,Armor,76,Fine,79
285,Carrion Cabalist Coat,Armor,80,Fine,99
286,Precise Studded Coat,Armor,12,Fine,26
287,Rampager's Cabalist Coat,Armor,63,Fine,81
288,Honed Worn Scale Boots,Armor,38,Fine,36
289,Berserker's Privateer Hat,Armor,80,Fine,83
290,Rampager's Cabalist Coat,Armor,68,Fine,86
291,Carrion Privateer Hat,Armor,62,Fine,67
292,Honed Worn Scale Boots,Armor,43,Fine,40
293,Precise Studded Coat,Armor,17,Fine,32
294,Carrion Privateer Hat,Armor,67,Fine,70
295,Rampager's Cabalist Coat,Armor,73,Fine,92
296,Honed Worn Scale Boots,Armor,48,Fine,43
297,Rampager's Sneakthief Sandals of the Centaur,Armor,64,Exotic,216
298,Rampager's Cabalist Coat,Armor,78,Fine,96
299,Carrion Privateer Hat,Armor,72,Fine,75
300,Vital Studded Coat,Armor,8,Fine,20
301,Rampager's Cabalist Coat,Armor,80,Fine,99
302,Honed Worn Scale Boots,Armor,53,Fine,47
303,Carrion Privateer Hat,Armor,77,Fine,79
304,Vital Studded Coat,Armor,13,Fine,27
305,Shaman's Cabalist Coat,Armor,64,Fine,81
306,Shaman's Cabalist Coat,Armor,69,Fine,87
307,Carrion Privateer Hat,Armor,80,Fine,83
308,Honed Worn Scale Boots,Armor,58,Fine,50
309,Rampager's Privateer Hat,Armor,63,Fine,68
310,Vital Studded Coat,Armor,18,Fine,33
311,Shaman's Cabalist Coat,Armor,74,Fine,92
312,Rampager's Privateer Hat,Armor,68,Fine,72
313,Shaman's Cabalist Coat,Armor,79,Fine,98
314,Rampager's Reinforced Scale Boots,Armor,63,Fine,54
315,Rampager's Privateer Hat,Armor,73,Fine,77
316,Rampager's Sneakthief Sandals of Vampirism,Armor,72,Exotic,240
317,Shaman's Cabalist Coat,Armor,80,Fine,99
318,Malign Studded Coat,Armor,9,Fine,21
319,Rampager's Privateer Hat,Armor,78,Fine,80
320,Rampager's Reinforced Scale Boots,Armor,68,Fine,57
321,Rampager's Privateer Hat,Armor,80,Fine,83
322,Shaman's Privateer Hat,Armor,64,Fine,68
323,Aidan's Boots,Armor,80,Exotic,264
324,Malign Studded Coat,Armor,14,Fine,29
325,Rampager's Reinforced Scale Boots,Armor,73,Fine,61
326,Shaman's Privateer Hat,Armor,69,Fine,73
327,Shaman's Privateer Hat,Armor,74,Fine,77
328,Rampager's Reinforced Scale Boots,Armor,78,Fine,64
329,Shaman's Privateer Hat,Armor,79,Fine,82
330,Malign Studded Coat,Armor,19,Fine,35
331,Shaman's Privateer Hat,Armor,80,Fine,83
332,Rampager's Reinforced Scale Boots,Armor,80,Fine,66
333,Strong Studded Coat,Armor,21,Fine,36
334,Shaman's Sneakthief Sandals of the Traveler,Armor,65,Exotic,220
335,Mighty Worn Chain Greaves,Armor,0,Basic,5
336,Shaman's Sneakthief Sandals of the Flock,Armor,73,Exotic,244
337,Strong Studded Coat,Armor,26,Fine,42
338,Malign Worn Chain Greaves,Armor,9,Fine,14
339,Strong Swindler Coat,Armor,31,Fine,47
340,Malign Worn Chain Greaves,Armor,14,Fine,19
341,Malign Worn Chain Greaves,Armor,19,Fine,23
342,Reyna's Boots,Armor,80,Exotic,264
343,Strong Swindler Coat,Armor,36,Fine,53
344,Ravaging Worn Chain Greaves,Armor,24,Fine,26
345,Ravaging Studded Coat,Armor,22,Fine,38
346,Ravaging Worn Chain Greaves,Armor,29,Fine,30
347,Ravaging Worn Scale Boots,Armor,34,Fine,33
348,Ravaging Studded Coat,Armor,27,Fine,42
349,Cleric's Sneakthief Sandals of the Traveler,Armor,66,Exotic,224
350,Ravaging Worn Scale Boots,Armor,39,Fine,37
351,Ravaging Swindler Coat,Armor,32,Fine,48
352,Ravaging Worn Scale Boots,Armor,44,Fine,40
353,Ravaging Swindler Coat,Armor,37,Fine,53
354,Mighty Magician Coat of the Grove,Armor,14,Masterwork,57
355,Cleric's Sneakthief Sandals of the Dolyak,Armor,74,Exotic,244
356,Ravaging Worn Scale Boots,Armor,49,Fine,44
357,Mighty Magician Coat of Vampirism,Armor,20,Masterwork,72
358,Honed Studded Coat,Armor,23,Fine,39
359,Strong Magician Coat of the Afflicted,Armor,26,Masterwork,84
360,Strong Magician Coat of the Flame Legion,Armor,32,Masterwork,96
361,Honed Studded Coat,Armor,28,Fine,44
362,Strong Magician Coat of the Flock,Armor,38,Masterwork,108
363,Ravaging Worn Scale Boots,Armor,54,Fine,47
364,Ravaging Worn Scale Boots,Armor,59,Fine,51
365,Zho's Boots,Armor,80,Exotic,264
366,Ravaging Magician Coat of the Lich,Armor,27,Masterwork,84
367,Ravaging Magician Coat of Melandru,Armor,33,Masterwork,99
368,Strong Cabalist Coat of the Lich,Armor,44,Masterwork,120
369,Shaman's Reinforced Scale Boots,Armor,64,Fine,54
370,Honed Swindler Coat,Armor,33,Fine,50
371,Strong Cabalist Coat of the Traveler,Armor,50,Masterwork,135
372,Honed Swindler Coat,Armor,38,Fine,54
373,Strong Cabalist Coat of the Lich,Armor,56,Masterwork,147
374,Shaman's Reinforced Scale Boots,Armor,69,Fine,58
375,Sneakthief Sandals of Infiltration,Armor,75,Exotic,248
376,Ravaging Magician Coat of Vampirism,Armor,39,Masterwork,111
377,Ravaging Studded Coat,Armor,24,Fine,39
378,Ravaging Cabalist Coat of the Dolyak,Armor,45,Masterwork,123
379,Shaman's Reinforced Scale Boots,Armor,74,Fine,61
380,Ravaging Cabalist Coat of Strength,Armor,51,Masterwork,135
381,Shaman's Reinforced Scale Boots,Armor,79,Fine,65
383,Ravaging Cabalist Coat of the Grove,Armor,57,Masterwork,147
384,Honed Cabalist Coat of the Eagle,Armor,40,Masterwork,114
385,Ravaging Studded Coat,Armor,29,Fine,45
386,Mighty Swindler Mask of the Eagle,Armor,14,Masterwork,48
387,Honed Cabalist Coat of Strength,Armor,46,Masterwork,126
388,Mighty Swindler Mask of Dwayna,Armor,20,Masterwork,60
389,Honed Cabalist Coat of the Flock,Armor,52,Masterwork,138
390,Shaman's Reinforced Scale Boots,Armor,80,Fine,66
391,Ravaging Swindler Coat,Armor,34,Fine,50
392,Strong Swindler Mask of Hoelbrak,Armor,26,Masterwork,70
393,Honed Cabalist Coat of Rage,Armor,58,Masterwork,150
394,Ravaging Swindler Coat,Armor,39,Fine,56
395,Mighty Worn Scale Boots of Vampirism,Armor,14,Masterwork,38
396,Ravaging Cabalist Coat of Mercy,Armor,53,Masterwork,141
397,Strong Swindler Mask of Infiltration,Armor,32,Masterwork,80
398,Berserker's Sneakthief Sandals of the Grove,Armor,76,Exotic,252
399,Ravaging Cabalist Coat of the Citadel,Armor,59,Masterwork,153
400,Strong Swindler Mask of Rata Sum,Armor,38,Masterwork,90
401,Mighty Worn Scale Boots of Scavenging,Armor,20,Masterwork,48
402,Ravaging Swindler Mask of Grenth,Armor,27,Masterwork,70
403,Berserker's Cabalist Coat of the Lich,Armor,62,Masterwork,159
404,Berserker's Cabalist Coat of the Traveler,Armor,68,Masterwork,171
405,Strong Swindler Coat,Armor,41,Fine,57
406,Strong Worn Scale Boots of the Grove,Armor,26,Masterwork,56
407,Ravaging Swindler Mask of Rage,Armor,33,Masterwork,83
408,Strong Privateer Hat of Grenth,Armor,44,Masterwork,100
409,Berserker's Cabalist Coat of Lyssa,Armor,74,Masterwork,183
410,Strong Swindler Coat,Armor,46,Fine,63
411,Berserker's Cabalist Coat of Infiltration,Armor,80,Masterwork,198
412,Vatlaaw's Boots,Armor,80,Exotic,264
413,Carrion Cabalist Coat of the Pack,Armor,63,Masterwork,162
414,Strong Privateer Hat of Mercy,Armor,50,Masterwork,113
415,Strong Worn Scale Boots of Hoelbrak,Armor,32,Masterwork,64
416,Strong Privateer Hat of the Dolyak,Armor,56,Masterwork,123
417,Strong Worn Scale Boots of Infiltration,Armor,38,Masterwork,72
418,Carrion Cabalist Coat of Infiltration,Armor,69,Masterwork,174
419,Strong Swindler Coat,Armor,51,Fine,68
420,Ravaging Swindler Mask of the Lich,Armor,39,Masterwork,93
421,Carrion Cabalist Coat of Hoelbrak,Armor,75,Masterwork,186
422,Strong Reinforced Scale Boots of the Pack,Armor,44,Masterwork,80
423,Mighty Studded Boots,Armor,6,Fine,11
424,Carrion Cabalist Coat of Lyssa,Armor,79,Masterwork,195
425,Carrion Cabalist Coat of the Dolyak,Armor,80,Masterwork,198
426,Ravaging Privateer Hat of the Dolyak,Armor,45,Masterwork,103
427,Ravaging Privateer Hat of the Flame Legion,Armor,51,Masterwork,113
428,Rampager's Cabalist Coat of Infiltration,Armor,64,Masterwork,162
429,Strong Swindler Coat,Armor,56,Fine,74
430,Strong Reinforced Scale Boots of the Pack,Armor,50,Masterwork,90
431,Ravaging Privateer Hat of the Traveler,Armor,57,Masterwork,123
432,Rampager's Cabalist Coat of the Lich,Armor,70,Masterwork,177
433,Rampager's Cabalist Coat of Dwayna,Armor,76,Masterwork,189
434,Ravaging Swindler Coat,Armor,42,Fine,59
435,Honed Privateer Hat of the Grove,Armor,40,Masterwork,95
436,Strong Reinforced Scale Boots of the Flame Legion,Armor,56,Masterwork,98
437,Honed Privateer Hat of Scavenging,Armor,46,Masterwork,105
438,Rampager's Cabalist Coat of Dwayna,Armor,80,Masterwork,198
439,Honed Privateer Hat of the Citadel,Armor,52,Masterwork,115
440,Berserker's Reinforced Scale Boots of the Centaur,Armor,62,Masterwork,106
441,Ravaging Swindler Coat,Armor,47,Fine,63
442,Shaman's Cabalist Coat of Strength,Armor,65,Masterwork,165
443,Shaman's Cabalist Coat of the Eagle,Armor,71,Masterwork,177
444,Honed Privateer Hat of Balthazar,Armor,58,Masterwork,125
445,Berserker's Reinforced Scale Boots of Grenth,Armor,68,Masterwork,114
446,Ravaging Swindler Coat,Armor,52,Fine,69
447,Ravaging Privateer Hat of Rata Sum,Armor,53,Masterwork,118
448,Shaman's Cabalist Coat of the Flock,Armor,77,Masterwork,189
449,Shaman's Cabalist Coat of Balthazar,Armor,80,Masterwork,198
450,Mighty Studded Boots,Armor,11,Fine,16
451,Ravaging Privateer Hat of the Flame Legion,Armor,59,Masterwork,128
452,Cleric's Cabalist Coat of the Afflicted,Armor,66,Masterwork,168
453,Ravaging Swindler Coat,Armor,57,Fine,74
454,Cleric's Cabalist Coat of Hoelbrak,Armor,72,Masterwork,180
455,Berserker's Privateer Hat of the Afflicted,Armor,62,Masterwork,133
456,Berserker's Reinforced Scale Boots of the Pack,Armor,74,Masterwork,122
457,Mighty Studded Boots,Armor,16,Fine,20
458,Cleric's Cabalist Coat of Dwayna,Armor,78,Masterwork,192
459,Cleric's Cabalist Coat of the Pack,Armor,80,Masterwork,198
460,Honed Swindler Coat,Armor,43,Fine,60
461,Carrion Reinforced Scale Boots of the Eagle,Armor,69,Masterwork,116
462,Berserker's Privateer Hat of the Afflicted,Armor,68,Masterwork,143
463,Berserker's Privateer Hat of Balthazar,Armor,74,Masterwork,153
464,Honed Swindler Coat,Armor,48,Fine,65
465,Berserker's Reinforced Scale Boots of Vampirism,Armor,80,Masterwork,132
466,Berserker's Privateer Hat of Rata Sum,Armor,80,Masterwork,165
467,Ravaging Worn Scale Boots of the Dolyak,Armor,27,Masterwork,56
468,Carrion Privateer Hat of the Citadel,Armor,63,Masterwork,135
469,Strong Cabalist Coat of the Flame Legion,Armor,39,Rare,167
470,Precise Studded Boots,Armor,7,Fine,12
471,Strong Cabalist Coat of the Afflicted,Armor,46,Rare,189
472,Carrion Privateer Hat of Divinity,Armor,69,Masterwork,145
473,Honed Swindler Coat,Armor,53,Fine,71
474,Strong Cabalist Coat of Infiltration,Armor,53,Rare,212
475,Ravaging Worn Scale Boots of Infiltration,Armor,33,Masterwork,66
476,Carrion Privateer Hat of Strength,Armor,75,Masterwork,155
477,Carrion Privateer Hat of Dwayna,Armor,79,Masterwork,163
478,Ravaging Cabalist Coat of the Centaur,Armor,40,Rare,171
479,Ravaging Cabalist Coat of Infiltration,Armor,47,Rare,189
480,Strong Conjurer Chest of the Flock,Armor,60,Rare,234
481,Carrion Privateer Hat of Melandru,Armor,80,Masterwork,165
482,Ravaging Worn Scale Boots of Rage,Armor,39,Masterwork,74
483,Honed Swindler Coat,Armor,58,Fine,75
484,Ravaging Swindler Coat,Armor,44,Fine,60
485,Ravaging Reinforced Scale Boots of the Eagle,Armor,51,Masterwork,90
486,Rampager's Privateer Hat of Vampirism,Armor,64,Masterwork,135
487,Berserker's Conjurer Chest of Rage,Armor,67,Rare,252
488,Rampager's Privateer Hat of Balthazar,Armor,70,Masterwork,148
489,Berserker's Conjurer Chest of the Centaur,Armor,74,Rare,275
490,Berserker's Conjurer Chest of Strength,Armor,80,Rare,297
491,Precise Studded Boots,Armor,12,Fine,17
492,Ravaging Reinforced Scale Boots of Hoelbrak,Armor,57,Masterwork,98
493,Rampager's Privateer Hat of the Centaur,Armor,76,Masterwork,158
494,Ravaging Swindler Coat,Armor,49,Fine,66
495,Ravaging Conjurer Chest of Rata Sum,Armor,54,Rare,212
496,Carrion Reinforced Scale Boots of Strength,Armor,75,Masterwork,124
497,Rampager's Privateer Hat of the Pack,Armor,80,Masterwork,165
498,Carrion Conjurer Chest of the Flame Legion,Armor,61,Rare,234
499,Shaman's Privateer Hat of the Citadel,Armor,65,Masterwork,138
500,Carrion Conjurer Chest of Dwayna,Armor,68,Rare,257
501,Ravaging Swindler Coat,Armor,54,Fine,71
502,Carrion Conjurer Chest of Vampirism,Armor,75,Rare,279
503,Precise Studded Boots,Armor,17,Fine,21
504,Carrion Reinforced Scale Boots of Rage,Armor,80,Masterwork,132
505,Carrion Conjurer Chest of Lyssa,Armor,80,Rare,297
506,Shaman's Privateer Hat of Divinity,Armor,71,Masterwork,148
507,Shaman's Privateer Hat of Divinity,Armor,77,Masterwork,158
508,Honed Conjurer Chest of Balthazar,Armor,55,Rare,216
509,Ravaging Swindler Coat,Armor,59,Fine,77
510,Ravaging Reinforced Scale Boots of Mercy,Armor,45,Masterwork,82
511,Shaman's Privateer Hat of the Flame Legion,Armor,80,Masterwork,165
512,Rampager's Conjurer Chest of the Flame Legion,Armor,62,Rare,239
513,Vital Studded Boots,Armor,8,Fine,13
514,Rampager's Conjurer Chest of Infiltration,Armor,69,Rare,261
515,Carrion Reinforced Scale Boots of Dwayna,Armor,63,Masterwork,108
516,Cleric's Privateer Hat of the Citadel,Armor,66,Masterwork,140
517,Berserker's Privateer Coat,Armor,61,Fine,78
518,Rampager's Conjurer Chest of Lyssa,Armor,76,Rare,284
519,Rampager's Conjurer Chest of Infiltration,Armor,80,Rare,297
520,Cleric's Privateer Hat of Rata Sum,Armor,72,Masterwork,150
521,Carrion Reinforced Scale Boots of Lyssa,Armor,79,Masterwork,130
522,Berserker's Privateer Coat,Armor,66,Fine,84
523,Shaman's Conjurer Chest of the Grove,Armor,70,Rare,266
524,Cleric's Privateer Hat of the Citadel,Armor,78,Masterwork,160
525,Cleric's Privateer Hat of the Lich,Armor,80,Masterwork,165
526,Shaman's Conjurer Chest of the Eagle,Armor,77,Rare,284
